Title,Print ISSN,e-ISSN
"Sport, Exercise, and Performance Psychology",2157-3905,2157-3913
Sports Biomechanics,1476-3141,1752-6116
Sports Health,1941-7381,
Sports Medicine and Arthroscopy Review,1062-8592,1538-1951
"Sports Medicine, Arthroscopy, Rehabilitation, Therapy and Technology",,1758-2555
Sports Technology,1934-6182,1934-6190
"Sportverletzung, Sportschaden",0932-0555,1439-1236
Sprache Stimme Gehör,0342-0477,1439-1260
Sprachkunst,0038-8483,1727-6993
Springer Seminars in Immunopathology,0344-4325,1432-2196
SRX Agriculture,,2090-1038
SRX Biology,,2090-1046
SRX Chemistry,,2090-1054
SRX Computer Science,,2090-1062
SRX Dentistry,,2090-1070
SRX Ecology,,2090-1089
SRX Engineering,,2090-1097
SRX Geosciences,,2090-1100
SRX Materials Science,,2090-1119
SRX Mathematics,,2090-1127
SRX Medicine,,2090-1135
SRX Neuroscience,,2090-1143
SRX Pharmacology,,2090-1151
SRX Physics,,2090-116X
SRX Veterinary Science,,2090-1178
St. Petersburg Mathematical Journal,1061-0022,1547-7371
Stahlbau,0038-9145,1437-1049
StandardView,1067-9936,1557-7376
Standort,0174-3635,1432-220X
Starch - Stärke,0038-9056,1521-379X
State and Local Government Review,0160-323X,1942-3409
State Politics & Policy Quarterly,1532-4400,1946-1607
Statistica Neerlandica,0039-0402,1467-9574
Statistical Applications in Genetics and Molecular Biology,,1544-6115
Statistical Inference for Stochastic Processes,1387-0874,1572-9311
Statistical Methodology,1572-3127,
Statistical Methods in Medical Research,0962-2802,1477-0334
Statistical Modeling,1471-082X,1477-0342
Statistical Modelling,1471-0820,1477-0342
Statistical Papers,0932-5026,1613-9798
Statistics & Probability Letters,0167-7152,
Statistics and Computing,0960-3174,1573-1375
Statistics in Biopharmaceutical Research,,1946-6315
Statistics in BioSciences,1867-1764,1867-1772
Statistics in Medicine,0277-6715,1097-0258
"Statistics, Politics, and Policy",,2151-7509
Statistics: A Journal of Theory & Application,0233-1888,1029-4910
Statute Law Review,0144-3593,1464-3863
Statutes & Decisions: The Laws of the USSR and Its Successor States,1061-0014,1558-0903
Steel in Translation,0967-0912,1935-0988
Steinbeck Review,1546-007X,1754-6087
Steinbeck Review,1546-007X,1754-6087
Stem Cell Research,1873-5061,
Stem Cell Research & Therapy,,1757-6512
Stem Cell Reviews,1550-8943,1558-6804
Stem Cells and Development,1547-3287,1557-8534
Stem Cells International,1687-966X,1687-9678
Stephan Mueller Special Publication Series,1868-4556,1868-4564
Stereotactic and Functional Neurosurgery,1011-6125,1423-0372
Steroids,0039-128X,
Stochastic & Dynamics,0219-4937,1793-6799
Stochastic Analysis & Applications,0736-2994,1532-9356
Stochastic Environmental Research and Risk Assessment,1436-3240,1436-3259
Stochastic Models,1532-6349,1532-4214
Stochastic Processes and Their Applications,0304-4149,
Stochastics,0090-9491,
Stochastics and Stochastic Reports,1045-1129,
Stochastics: An International Journal of Probability of Probability and Stochastic Processes,1744-2508,1744-2516
Storia e problemi contemporanei,1120-4206,1826-7203
Storiografia,1128-2339,1724-2177
"Storytelling, Self, and Society",1550-5340,1932-0280
Storyworlds:  A Journal of Narrative Studies,1946-2204,
Strabismus (Informa),0927-3972,1744-5132
Strabismus (T&F),0927-3972,1744-5132
Strain,0039-2103,1475-1305
Strategic Analysis,0970-0161,1754-0054
Strategic Change,1086-1718,1099-1697
Strategic Comments,,1356-7888
Strategic Direction,0258-0543,
Strategic Entrepreneurship Journal,1932-4391,1932-443X
Strategic HR Review,1475-4398,
Strategic Management Journal,0143-2095,1097-0266
Strategic Organization,1476-1270,1741-315X
Strategic Outsourcing: An International Journal,1753-8297,
Strategic Planning for Energy and the Environment,1048-5236,1546-0126
Strategic Survey,0459-7230,1476-4997
Strategy & Leadership,1087-8572,
Stratigraphy and Geological Correlation,0869-5938,1555-6263
Strength and Conditioning,1073-6840,
Strength and Conditioning Journal,1524-1602,
Strength of Materials,0039-2316,1573-9325
Stress (Informa),1025-3890,1607-8888
Stress (T&F),1025-3890,1607-8888
Stress and Health,1532-3005,1532-2998
Stress Medicine,0748-8386,1099-1700
"Stress, Trauma and Crisis: An International Journal",1064-5136,1543-4591
Stroke,0039-2499,
Stroke Research and Treatment,2090-8105,2042-0056
Structural and Multidisciplinary Optimization,1615-147X,1615-1488
Structural Change and Economic Dynamics,0954-349X,
Structural Chemistry,1040-0400,1572-9001
Structural Concrete,1464-4177,1751-7648
Structural Control and Health Monitoring,1545-2255,1545-2263
Structural Design of Tall and Special Buildings,1541-7794,1541-7808
Structural Design of Tall Buildings,1062-8002,1099-1794
Structural Engineering Review,0952-5807,
Structural Equation Modeling: A Multidisciplinary Journal,1070-5511,1532-8007
Structural Safety,0167-4730,
Structural Survey,0263-080X,
Structure,0969-2126,
Structure & Infrastructure Engineering,1573-2479,1744-8980
Studi Buzzatiani,1124-6286,1724-1839
Studi di Egittologia e di Papirologia,1724-6156,1824-7326
Studi di estetica,0585-4733,1825-8646
Studi e Problemi di Critica Testuale,0049-2361,1826-722X
Studi Internazionali di Filosofia,0039-2979,2154-1787
Studi Ispanici,0585-492X,1724-1588
Studi Kantiani,1123-4938,1724-1812
Studi Mariniani,1125-0321,1826-9559
Studi Nordici,1128-0107,1824-9833
Studi Novecenteschi,0303-4615,1724-1804
Studi Pasoliniani,1972-473X,1973-3232
Studi Rinascimentali,1724-6164,1824-1948
Studi sul Settecento e lOttocento,1828-2156,1970-2213
Studi Veneziani,0392-0437,1724-1790
Studia Geophysica et Geodaetica,0039-3169,1573-1626
Studia Islamica,0585-5292,1958-5705
Studia Linguistica,0039-3193,1467-9582
Studia Logica,0039-3215,1572-8730
Studia Musicologica,1788-6244,1789-2422
Studia Neoaristotelica,1214-8407,1804-6843
Studia Neophilologica,0039-3274,1651-2308
Studia Phaenomenologica,1582-5647,
Studia Scientiarum Mathematicarum Hungarica,0081-6906,1588-2896
Studia Slavica Academiae Scientiarum Hungaricae,0039-3363,1588-290X
Studia Theologica,0039-338X,1502-7791
Studia UBB Geologia,,1937-8602
Studies in American Fiction,0091-8083,2158-415X
Studies in American Indian Literatures,0730-3238,1548-9590
Studies in American Jewish Literature,0271-9274,1948-5077
Studies in American Political Development,0898-588X,1469-8692
Studies in Applied Mathematics,0022-2526,1467-9590
Studies in Central and East Asian Religions,0904-2431,
Studies in Christian Ethics,0953-9468,1745-5235
Studies In Comparative Communism,0039-3592,
Studies in Comparative International Development,0039-3606,1936-6167
Studies in Conflict Terrorism,1057-610X,1521-0731
Studies in Conservation,0039-3630,2047-0584
Studies in Continuing Education,0158-037X,1470-126X
Studies in Culture & Education,1358-684X,1469-3585
Studies in East European Thought,0925-9392,1573-0948
Studies in Economics and Finance,1086-7376,
Studies In Educational Evaluation,0191-491X,
Studies in Eighteenth Century Culture,,1938-6133
"Studies in Ethics, Law, and Technology",,1941-6008
Studies in Ethnicity and Nationalism,1473-8481,1754-9469
Studies in Family Planning,0039-3665,1728-4465
Studies in Gender and Sexuality,1524-0657,1940-9206
Studies in Higher Education,0307-5079,1470-174X
Studies in History,0257-6430,
Studies In History and Philosophy of Science Part A,0039-3681,
Studies In History and Philosophy of Science Part B: Studies In History and Philosophy of Modern Physics,1355-2198,
Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,1369-8486,
Studies in Language,0378-4177,1569-9978
Studies in Nonlinear Dynamics & Econometrics,,1558-3708
Studies in Philosophy and Education,0039-3746,1573-191X
Studies in Practical Philosophy,1389-0506,1569-1667
Studies in Religion,0008-4298,2042-0587
Studies in Science Education,0305-7267,1940-8412
Studies in Second Language Acquisition,0272-2631,1470-1545
Studies in the History of Gardens & Designed Landscapes,1460-1176,1943-2186
Studies in Travel Writing,1364-5145,1755-7550
Studies in World Christianity,1354-9901,1750-0230
Studies on Neotropical Fauna and Environment,0165-0521,1744-5140
Studies on Russian Economic Development,1075-7007,1531-8664
Studies on Women Abstracts,0262-5644,1467-5978
Studying Teacher Education,1742-5964,1742-5972
Subjectivity: International Journal of Critical Psychology,1755-6341,1755-635X
Substance Abuse,0889-7077,1547-0164
Substance Abuse,0889-7077,1547-0164
"Substance Abuse Treatment, Prevention, and Policy",,1747-597X
Substance Use & Misuse (Informa),1082-6084,1532-2491
Substance Use & Misuse (T&F),1082-6084,1532-2491
Suchttherapie,1439-9903,1439-989X
Suicide and Life Threatening Behavior,0363-0234,1943-278X
Suid-Afrikaanse Bosboutydskrif/South African Forestry Journal,0038-2167,
"Supercomputing, Proceedings",1063-9535,
Superconductor Science and Technology,0953-2048,1361-6668
Superlattices and Microstructures,0749-6036,
Supervisor Nurse,0039-5870,
Supply Chain Management: An International Journal,1359-8546,
Support for Learning,0268-2141,1467-9604
Supportative Care in Cancer,0941-4355,1433-7339
Supramolecular Chemistry,1061-0278,1029-0478
Supramolecular Science,0968-5677,
Supreme Court Economic Review,0736-9921,2156-6208
Surface and Coatings Technology,0257-8972,
Surface and Interface Analysis,0142-2421,1096-9918
Surface Engineering,0267-0844,1743-2944
Surface Engineering and Applied Electrochemistry,1068-3755,1934-8002
Surface Innovations,2050-6252,2050-6260
Surface Review & Letters,0218-625X,1793-6667
Surface Science,0039-6028,
Surface Science Letters,0167-2584,
Surface Science Reports,0167-5729,
Surface Technology,0376-4583,
Surgery,0039-6060,
Surgery,0263-9319,
Surgery for Obesity and Related Diseases,1550-7289,
Surgery Today,0941-1291,1436-2813
Surgical and Radiologic Anatomy,0930-1038,1279-8517
Surgical Endoscopy,0930-2794,1432-2218
Surgical Infections,1096-2964,1557-8674
Surgical Innovation,1553-3506,
Surgical Laparoscopy and Endoscopy,1051-7200,
"Surgical Laparoscopy, Endoscopy and Percutaneous Techniques",1530-4515,1534-4908
Surgical Neurology,0090-3019,
Surgical Neurology International,2229-5097,2152-7806
Surgical Oncology,0960-7404,
Surgical Practice,1744-1625,1744-1633
Survey of Anesthesiology,0039-6206,
Survey of Ophthalmology,0039-6257,
Survey Review,0039-6265,1752-2706
Surveys and Perspectives Integrating Environment and Society,1993-3800,1993-3819
Surveys in Geophysics,0169-3298,1573-0956
Surveys in High Energy Physics,0142-2413,1477-2892
Survival,0039-6338,1468-2699
Sustainability: Research and Practice,1937-0695,1937-0709
Sustainable Development,0968-0802,1099-1719
"Sustainable Technologies, Systems and Policies",,2220-2765
Svensk ÖNH-tidskrift,1400-0121,
Swarm Intelligence,1935-3812,1935-3820
Swiss Journal of Paleontology,1664-2376,1664-2384
Swiss Journal of Psychology,1421-0185,1662-0879
Sydney Journal,,1835-0151
Symbiosis,0334-5114,1878-7665
Symbolae Antiqvariae,1972-6538,1974-4900
Symbolae Osloenses,0039-7679,1502-7805
Symbolic Interaction,0195-6086,1533-8665
Symphonya : Emerging Issue in Management,1593-0300,1593-0319
symplok,1069-0697,1534-0627
Symposia of the Faraday Society,0430-0696,
Symposium,1917-9685,2154-5278
"Symposium on Autonomous Underwater Vehicle Technology, Proceedings of the",1522-3167,
Symposium on Combustion,0082-0784,
"Symposium on Computer Architecture and High Performance Computing, Proceedings of the",1550-6533,
Symposium on the Application of Geophysics to Engineering and Environmental Problems Proceedings,1554-8015,
Symposium: A Quarterly Journal in Modern Literatures,0039-7709,1931-0676
Synapse,0887-4476,1098-2396
Synchrotron Radiation News,0894-0886,1931-7344
Synfacts,1861-1958,1861-194X
Synlett,0936-5214,1437-2096
Syntax,1368-0005,1467-9612
Synthese,0039-7857,1573-0964
Synthesis,0039-7881,1437-210X
Synthesis & Reacactivity in Inorganic & Metal-Organic Chemistry,0094-5714,1532-2440
"Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",1553-3174,1553-3182
Synthetic Communications,0039-7911,1532-2432
Synthetic Metals,0379-6779,
System,0346-251X,
System Dynamics Review,0883-7066,1099-1727
"System Theory, Proceedings of the Southeastern Symposium on",0094-2898,
Systematic and Applied Microbiology,0723-2020,
Systematic Biology (OUP),1063-5157,1076-836X
Systematic Biology (T&F),1063-5157,1076-836X
Systematic Botany,0363-6445,1548-2324
Systematic Entomology,0307-6970,1365-3113
Systematic Parasitology,0165-5752,1573-5192
Systematic Reviews,,2046-4053
Systematic Reviews in Pharmacy,0975-8453,0976-2779
Systematics and Biodiversity,1477-2000,1478-0933
Systemic Practice and Action Research,1094-429X,1573-9295
Systems & Control Letters,0167-6911,
Systems Analysis Modelling Simulation,0232-9298,1029-4902
Systems and Computers in Japan,0882-1666,1520-684X
Systems Biology in Reproductive Medicine (Informa),1939-6368,1939-6376
Systems Biology in Reproductive Medicine (T&F),1939-6368,1939-6376
Systems Engineering,1098-1241,1520-6858
Systems Engineering - Theory & Practice,1874-8651,
Systems Research,0731-7239,1099-1735
Systems Research and Behavioral Science,1092-7026,1099-1743
Systems Research Forum,1793-9666,1793-9674
"Systems, Man and Cybernetics, IEEE International Conference on",1062-922X,
T'oung Pao,0082-5433,1568-5322
Taiwanese Journal of Obstetrics and Gynecology,1028-4559,
Talanta,0039-9140,
Tang Studies,0737-5034,1759-7633
TAPA: Transactions of the American Philological Association,0360-5949,1533-0699
Target,0924-1884,1569-9986
Targeted Oncology,1776-2596,1776-260X
Targets,1477-3627,
Társadalomkutatás,0231-2522,1588-2918
Tasmeem,,2221-9048
Tax Policy and the Economy,0892-8649,
TDR/The Drama Review,1054-2043,1531-4715
Teacher Development,1366-4530,1747-5120
Teacher Education and Special Education,0888-4064,
Teachers and Teaching: Theory and Practice,1354-0602,1470-1278
Teaching and Learning in Medicine,1040-1334,1532-8015
Teaching and Learning in Nursing,1557-3087,1557-2013
Teaching and Learning Inquiry,2167-4779,2167-4787
Teaching and Teacher Education,0742-051X,
Teaching Anthropology: Society for Anthropology in Community Colleges Notes,1077-5714,1537-1751
Teaching Artist Journal,1541-1796,1541-180X
Teaching Children Mathematics,1073-5836,
Teaching Education Journal,1047-6210,1470-1286
Teaching Ethics,1544-4031,2154-0551
Teaching in Higher Education,1356-2517,1470-1294
Teaching Mathematics and Its Applications,0268-3679,1471-6976
Teaching of Psychology (Sage),0098-6283,1532-8023
Teaching of Psychology (T&F),0098-6283,1532-8023
Teaching Philosophy,0145-5788,2153-6619
Teaching Sociology,0092-055X,1939-862X
Teaching Statistics,0141-982X,1467-9639
Teaching Theology & Religion,1368-4868,1467-9647
Team Performance Management,1352-7592,
Team Spiegel,1868-1948,1868-193X
Team.Konkret,1869-3202,1869-3210
Technai,,
Techné: Research in Philosophy and Technology,,1091-8264
Technical Communication Quarterly,1057-2252,1542-7625
Technical Education & Training Abstracts,0966-162X,1467-5897
Technical Physics,1063-7842,1090-6525
Technical Physics Letters,1063-7850,1090-6533
Technical Services Quarterly,0731-7131,1555-3337
Technical Services Quarterly,0731-7131,1555-3337
Techniques in Foot and Ankle Surgery,1536-0644,1538-1943
Techniques in Gastrointestinal Endoscopy,1096-2883,
Techniques in Hand and Upper Extremity Surgery,1089-3393,1531-6572
Techniques in Knee Surgery,1536-0636,1538-1935
Techniques in Ophthalmology,1542-1929,1542-1937
Techniques in Orthopaedics,0885-9698,
Techniques in Regional Anesthesia and Pain Management,1084-208X,
Techniques in Shoulder and Elbow Surgery,1523-9896,
Techniques in Vascular and Interventional Radiology,1089-2516,
Technological and Economic Development of Economy,2029-4913,2029-4921
Technological Forecasting,0099-3964,
Technological Forecasting and Social Change,0040-1625,
Technology Analysis & Strategic Management,0953-7325,1465-3990
Technology and Culture,0040-165X,1097-3729
Technology in Society,0160-791X,
"Technology, Knowledge and Learning",2211-1662,2211-1670
"Technology, Pedagogy and Education",1475-939X,1747-5139
Technometrics,0040-1706,1537-2723
Technovation,0166-4972,
TechTrends,8756-3894,1559-7075
Tectonics,0278-7407,
Tectonophysics,0040-1951,
Tel Aviv,0334-4355,2040-4786
Telecommunication Systems,1018-4864,1572-9451
Telecommunications and Radio Engineering,0040-2508,1943-6009
Telecommunications Policy,0308-5961,
Telematics and Informatics,0736-5853,
Telemedicine Journal and e-Health,1530-5627,1556-3669
Television & New Media,1527-4764,1552-8316
Tellus,,2153-3490
Tellus A (Co-Action),0280-6495,1600-0870
Tellus A (Wiley),0280-6495,1600-0870
Tellus B (Co-Action),0280-6509,1600-0889
Tellus B (Wiley),0280-6509,1600-0889
Tempo,0040-2982,1478-2286
"Temporal Representation and Reasoning (TIME), International Symposium on",1530-1311,
"Teratogenesis, Carcinogenesis, and Mutagenesis",0270-3211,1520-6866
Teratology,0040-3709,1096-9926
Terminology,0929-9971,1569-9994
Terra Nova,0954-4879,1365-3121
Terrae Incognitae,0082-2884,2040-8706
Terrestrial Arthropod Reviews,1874-9828,1874-9836
Terrorism and Political Violence,0954-6553,1556-1836
Tertiary Education and Management,1358-3883,1573-1936
"Test Conference (ITC), Proceedings, IEEE International",1089-3539,
Testo,1123-4660,1724-1782
Tetrahedron,0040-4020,
Tetrahedron Computer Methodology,0898-5529,
Tetrahedron Letters,0040-4039,
Tetrahedron: Asymmetry,0957-4166,
Text,0165-4888,1613-4117
Text & Talk,1860-7330,1860-7349
Text and Performance Quarterly,1046-2937,1479-5760
Textile History,0040-4969,1743-2952
Textile Progress,0040-5167,1754-2278
Textile Research Journal,0040-5175,
Textual Cultures,1559-2936,1933-7418
Textual Practice,0950-236X,1470-1308
Texture,0371-6554,
"Texture, Stress, and Microstructure",1687-5397,1687-5400
Textures and Microstructure,0730-3300,1029-4961
Thalamus & Related Systems (Cambridge),1472-9288,1744-8107
Thalamus & Related Systems (Elsevier),1472-9288,
The Academy of Management Annals,1941-6520,1941-6067
The Accounting Review,0001-4826,1558-7967
The Acorn,1092-6534,2153-8263
The Acquisitions Librarian,0896-3576,1544-435X
The ADHD Report,1065-8025,1943-2747
The Aging Male (Informa),1368-5538,1473-0790
The American Journal of Chinese Medicine,0192-415X,1793-6853
The American Journal of Drug and Alcohol Abuse (Informa),0095-2990,1097-9891
The American Journal of Gastroenterology (Elsevier),0002-9270,
The American Journal of Gastroenterology (Nature),0002-9270,1572-0241
The American Journal of Human Genetics,0002-9297,
The American Journal of Semiotics,0277-7126,2153-2990
The American Journal on Addictions (Wiley),1055-0496,1521-0391
The American Sociologist,0003-1232,1936-4784
The American Statistician,0003-1305,1537-2731
The Analyst,0003-2654,1364-5528
The Annals of Occupational Hygiene (Elsevier),0003-4878,1475-3162
The Annals of Occupational Hygiene (OUP),0003-4878,1475-3162
The Annals of Regional Science,0570-1864,1432-0592
The Antidote,1363-8483,
The Antioch Review,0003-5769,
The Art Book,1368-6267,1467-8357
The Astronomical Journal,0004-6256,1538-3881
The Astronomy and Astrophysics Review,0935-4956,1432-0754
The Astrophysical Journal,0004-637X,1538-4357
The Astrophysical Journal Letters,2041-8205,2041-8213
The Astrophysical Journal Supplement,0067-0049,1538-4365
The Auk (BioOne),0004-8038,1938-4254
The Auk (UCAL),0004-8038,1938-4254
The Australasian Journal of Optometry,0817-881X,1444-0938
The Australian Journal of Anthropology,1035-8811,1757-6547
The B.E. Journals in Economic Analysis & Policy,,1555-0494
The B.E. Journals in Macroeconomics,,1555-0486
The B.E. Journals in Theoretical Economics,,1555-0478
The Bible Translator,0260-0935,
The Black History Bulletin,1938-6656,2153-4810
The Black Scholar,0006-4246,
The Bottom Line: Managing Library Finances,0888-045X,
The Breast Journal,1075-122X,1524-4741
The Byron Journal,0301-7257,1757-0263
The Canadian Entomologist,0008-347X,
The Cartographic Journal,0008-7041,1743-2774
The CASE International Journal of Educational Advancement,1467-3657,1740-214X
The Cerebellum (T&F),1473-4222,1473-4230
The Chaucer Review: A Journal of Medieval Studies and Literary Criticism,0009-2002,1528-4204
The Chesterton Review,0317-0500,1930-1294
The Chesterton Review em Português,2162-8548,2162-8556
The Chesterton Review en Español,2162-853X,2162-8521
The Chesterton Review en Français,2162-8602,2162-8599
The Chesterton Review in Italiano,2162-3554,2162-3589
The Chicago Journal of Nervous and Mental Disease,1060-1694,
The China Nonprofit Review,1876-5092,1876-5149
The Chinese Economy,1097-1475,1558-0954
The Chinese Historical Review,1547-402X,2048-7827
The Chinese-German Journal of Clinical Oncology,1610-1979,1613-9089
The CLAO Journal,0733-8902,
The Clearing House: A Journal of Educational Strategies Issues and Ideas,0009-8655,1939-912X
The Clinical Respiratory Journal,1752-6981,1752-699X
The Clinical Supervisor,0732-5223,1545-231X
The Clinical Teacher,1743-4971,1743-498X
The Collected Letters of Thomas and Jane Welsh Carlyle,1532-0928,
The Condor (BioOne),0010-5422,1938-5129
The Condor (UCAL),0010-5422,1938-5129
The Conversation: An Online Journal of Liberal Studies,,
The Cryosphere,1994-0416,1994-0424
The Cryosphere Discussions,1994-0432,1994-0440
The Department Chair,1049-3255,1936-4393
The Developing Economies,0012-1533,1746-1049
The Economic and Labour Relations Review,1035-3046,
The Economic History Review,0013-0117,1468-0289
The Economic Journal,0013-0133,1468-0297
The Ecumenical Review,0013-0796,1758-6623
The Educational Forum,0013-1725,1938-8098
The Electronic Library,0264-0473,
The Environmentalist (Elsevier),0251-1088,1573-2991
The Environmentalist (Springer),0251-1088,1573-2991
The Ergonomics Open Journal,,1875-9343
The Eugene O'Neill Review,1040-9483,2161-4318
The European Journal of Contraception and Reproductive Health Care (Informa),1362-5187,1473-0782
The European Journal of Orthodontics,0141-5387,1460-2210
The Explicator,0014-4940,1939-926X
The F. Scott Fitzgerald Review,1543-3951,1755-6333
The Foundation Years,1744-1889,
The Geneva Papers on Risk and Insurance,1018-5895,1468-0440
The Geneva Risk and Insurance Review,1554-964X,1554-9658
The Geography Teacher,1933-8341,1752-6884
The German Quarterly,0016-8831,1756-1183
The Germanic Review: Literature Culture Theory,0016-8890,1930-6962
The Gerontologist,0016-9013,1758-5341
The Global South,1932-8648,1932-8656
The Good Society,1089-0017,1538-9731
The Hague Journal of Diplomacy,1871-1901,1871-191X
The Hardy Review,1934-8908,1934-8916
The Harvard Review of Philosophy,1062-6239,2153-9154
The Heythrop Journal,0018-1196,1468-2265
The Historic Environment,1756-7505,1756-7513
The Historical Journal,0018-246X,1469-5103
The Holocene,0959-6836,1477-0911
The Hopkins Review,,1939-9774
The Howard Journal of Criminal Justice,0265-5527,1468-2311
The Humanistic Psychologist,0887-3267,1547-3333
The IEE Seminar on Methods and Tools for SIL Determinationa 2005,0537-9989,
The IES Journal Part A: Civil & Structural Engineering,1937-3260,1937-3279
The Imaging Science Journal,1368-2199,1743-131X
The Innes Review,0020-157X,1745-5219
The International Forestry Review,1465-5489,
The International History Review,0707-5332,1949-6540
The International Journal for the History of Engineering & Technology,1758-1206,1758-1214
The International Journal of Advanced Manufacturing Technology,0268-3768,1433-3015
"The International Journal of Biodiversity Science, Ecosystems Services & Management",2151-3732,2151-3740
The International Journal of Cardiavascular Imaging,1569-5794,1573-0743
The International Journal of Children's Rights,0927-5568,1571-8182
The International Journal of Jungian Studies,1940-9052,1940-9060
The International Journal of Logistics Management,0957-4093,
The International Journal of Marine and Coastal Law,0927-3522,1571-8085
The International Journal of Multilingualism,1479-0718,1747-7530
The International Journal of Orthodontia,1072-3471,
The International Journal of Psychoanalysis,0020-7578,1745-8315
The International Journal of Transgenderism,1553-2739,1434-4599
The ISME Journal,1751-7362,1751-7370
The Italian Yearbook of International Law Online,,2211-6133
The Italianist,0261-4340,1748-619X
The Japanese Economy,1097-203X,1944-7256
The Joint Letter,1078-6260,
The Journal of Abnormal Psychology (1906-1921),0145-2339,
The Journal of African History,0021-8537,1469-5138
The Journal of Africana Religions,2165-5405,2165-5413
The Journal of Agricultural Science,0021-8596,1469-5146
The Journal of American Culture,1542-7331,1542-734X
The Journal of Arts Management Law and Society,1063-2921,1930-7799
The Journal of Biochemistry,0021-924X,1756-2651
The Journal of Bone and Joint Surgery,0021-9355,1535-1386
The Journal of Cell Biology,0021-9525,1540-8140
The Journal of Chemical Thermodynamics,0021-9614,
The Journal of China Universities of Posts and Telecommunications,1005-8885,
The Journal of Clinical Hypertension,1524-6175,1751-7176
The Journal of Comparative Asian Development,1533-9114,2150-5403
The Journal of Comparative Germanic Linguistics,1383-4924,1572-8552
The Journal of Critical Analysis,0022-0213,2154-0004
The Journal of Dermatology,0385-2407,1346-8138
The Journal of Ecclesiastical History,0022-0469,1469-7637
The Journal of Economic Education,0022-0485,2152-4068
The Journal of Economic Inequality,1569-1721,1573-8701
The Journal of Educational Research,0022-0671,1940-0675
The Journal of Environmental Education,0095-8964,1940-1892
The Journal of Ethics,1382-4554,1572-8609
The Journal of Eukaryotic Microbiology,1066-5234,1550-7408
The Journal of Experimental Education,0022-0973,1940-0683
The Journal of Experimental Medicine,0022-1007,1540-9538
The Journal of Finance,0022-1082,1540-6261
The Journal of Garden History ,0144-5170,
The Journal of General Physiology,0022-1295,1540-7748
The Journal of General Psychology,0022-1309,1940-0888
The Journal of Genetic Psychology,0022-1325,1940-0896
The Journal of Health Administration Education,0735-6722,2158-8236
The Journal of Indian Prosthodontic Society,0972-4052,1998-4057
The Journal of Industrial Economics,0022-1821,1467-6451
The Journal of Interdisciplinary History,0022-1953,1530-9169
The Journal of Jewish Thought and Philosophy,1053-699X,1477-285X
"The Journal of Law, Medicine & Ethics",1073-1105,1748-720X
The Journal of Medieval Latin,0778-9750,
The Journal of Medieval Monastic Studies,2034-3515,2034-3523
The Journal of Modern African Studies,0022-278X,1469-7777
The Journal of Negro Education,0022-2984,
The Journal of Nietzsche Studies,0968-8005,1538-4594
The Journal of Organic Chemistry,0022-3263,1520-6904
The Journal of Pediatrics (Wolters Kluwer Health),0022-3476,1097-6833
The Journal of Personal Selling & Sales Management,0885-3134,1557-7813
The Journal of Philosophy,0022-362X,1939-8549
The Journal of Physical Chemistry,0022-3654,1541-5740
The Journal of Physical Chemistry A,1089-5639,1520-5215
The Journal of Physical Chemistry B,1520-6106,1520-5207
The Journal of Physical Chemistry C,1932-7447,1932-7455
The Journal of Physiology,0022-3751,1469-7793
The Journal of Popular Culture,0022-3840,1540-5931
The Journal of Poverty and Social Justice,1759-8273,1759-8281
The Journal of Primary Prevention,0278-095X,1573-6547
The Journal of Psychology,0022-3980,1940-1019
The Journal of Real Estate Finance and Economics,0895-5638,1573-045X
The Journal of Risk Finance,1526-5943,
The Journal of Rural Health,0890-765X,1748-0361
The Journal of School Nursing,1059-8405,
The Journal of Sexual Medicine,1743-6095,1743-6109
The Journal of Social Psychology,0022-4545,1940-1183
The Journal of Social Studies Research,0885-985X,
The Journal of Social Welfare Law,0141-8033,
The Journal of Special Education,0022-4669,1538-4764
The Journal of Strain Analysis for Engineering Design,0309-3247,2041-3130
The Journal of Supercomputing,0920-8542,1573-0484
The Journal of Technology Transfer,0892-9912,1573-7047
The Journal of the American Academy of Psychoanalysis,0090-3604,
The Journal of the American Mathematical Society,0894-0347,1088-6834
The Journal of the History of Childhood and Youth,1939-6724,1941-3599
The Journal of the Middle East and Africa,2152-0844,2152-0852
"The Journal of Trauma: Injury, Infection, and Critical Care",1079-6061,
The Journal of World Intellectual Property,1422-2213,1747-1796
The Jung Journal: Culture & Psyche,1934-2039,1934-2047
The Keats-Shelley Review,0952-4142,
The Latin Americanist,1557-2021,1557-203X
The Law and Development Review,,1943-3867
The Law and Practice of International Courts and Tribunals,1569-1853,1571-8034
The Law Teacher,0306-9400,1943-0353
The Leading Edge,1070-485X,1938-3789
The Learning Organization,0969-6474,
The Legal History Review,0040-7585,1571-8190
The Leibniz Review,1524-1556,2153-9162
The Library,0024-2160,1744-8581
The Linacre Quarterly,0024-3639,2050-8549
The London Journal,0305-8034,1749-6322
The Lonergan Review,1948-4747,1948-4755
The Manchester School,1463-6786,1467-9957
The Mark Twain Annual,1553-0981,1756-2597
The Massachusetts Historical Review,1526-3894,
The Mathematical Intelligancer,0343-6993,
The Medieval Journal,2033-5385,2033-5393
The Michigan Historical Review,0890-1686,
The Modern Language Journal,0026-7902,1540-4781
The Modern Schoolman,0026-8402,2164-0726
